	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	A Coefficient
22844	14	101	64	2	-3.849100e+01	7.756000e-03	5.819000e+09
22845	14	101	64	11	-4.774200e+01	1.620000e-05	7.899000e+06
22846	14	101	64	12	-4.966300e+01	6.181000e-03	2.786000e+09
22847	14	101	64	13	-4.966100e+01	4.333000e-02	1.953000e+10
22848	14	101	64	15	-5.162800e+01	1.481000e+00	6.177000e+11
22849	14	101	65	13	-6.788200e+01	6.945000e-08	1.257000e+04
22850	14	101	66	13	-5.509500e+01	2.801000e-03	7.693000e+08
22851	14	101	67	13	-5.465100e+01	8.172000e-03	2.281000e+09
22852	14	101	68	13	-5.429200e+01	4.461000e-01	1.262000e+11
22853	14	101	69	13	-5.306400e+01	2.232000e-02	6.610000e+09
22854	14	101	70	13	-5.245300e+01	5.817000e+00	1.763000e+12
22855	14	101	71	67	1.662940e+03	7.858000e-01	1.895000e+08
22856	14	101	71	119	3.541530e+02	8.549000e-02	4.547000e+08
22857	14	101	71	120	3.786080e+02	1.154000e-01	5.368000e+08
22858	14	101	71	121	4.553940e+02	1.454000e-04	4.675000e+05
22859	14	101	71	122	9.656880e+02	6.630000e-05	4.742000e+04
22860	14	101	71	123	-3.078810e+02	1.600000e+00	1.126000e+10
22861	14	101	71	125	3.579310e+02	6.763000e-01	3.521000e+09
22862	14	101	72	67	7.896550e+02	9.213000e-05	9.855000e+04
22863	14	101	72	119	2.866420e+02	1.899000e-05	1.542000e+05
22864	14	101	72	120	3.024540e+02	2.198000e-04	1.603000e+06
22865	14	101	72	121	3.495370e+02	4.942000e-03	2.698000e+07
22866	14	101	72	122	5.880410e+02	1.520000e-01	2.931000e+08
22867	14	101	72	124	1.655930e+03	9.245000e-01	2.249000e+08
22868	14	101	72	125	2.891120e+02	2.395000e-03	1.911000e+07
22869	14	101	73	3	-5.759400e+01	5.201000e-07	5.229000e+05
22870	14	101	73	4	-5.767500e+01	2.464000e-06	2.470000e+06
22871	14	101	73	6	-6.269500e+01	5.968000e-03	5.064000e+09
22872	14	101	73	8	-6.605300e+01	2.384000e-04	1.822000e+08
22873	14	101	73	9	-6.735500e+01	1.103000e-03	8.105000e+08
22874	14	101	73	10	-6.753900e+01	4.142000e-04	3.028000e+08
22875	14	101	74	3	5.459100e+01	2.279000e-02	2.558000e+10
22876	14	101	74	4	5.466500e+01	1.134000e-01	1.269000e+11
22877	14	101	74	6	5.865200e+01	6.418000e-05	6.294000e+07
22878	14	101	74	8	6.153200e+01	2.255000e-06	2.012000e+06
22879	14	101	74	9	6.239100e+01	2.050000e-06	1.787000e+06
22880	14	101	74	10	6.254700e+01	3.395000e-06	2.945000e+06
22881	14	101	75	3	5.347500e+01	3.291000e-06	3.846000e+06
22882	14	101	75	4	5.354600e+01	5.822000e-05	6.786000e+07
22883	14	101	75	6	5.736500e+01	8.393000e-02	8.597000e+10
22884	14	101	75	8	6.011800e+01	2.012000e-02	1.879000e+10
22885	14	101	75	9	6.093800e+01	3.422000e-03	3.124000e+09
22886	14	101	75	10	6.108600e+01	2.144000e-03	1.948000e+09
22887	14	101	76	3	5.025400e+01	9.463000e-01	1.252000e+12
22888	14	101	76	4	5.031700e+01	1.183000e-01	1.561000e+11
22889	14	101	76	6	5.367500e+01	1.934000e-04	2.262000e+08
22890	14	101	76	8	5.607800e+01	1.575000e-04	1.689000e+08
22891	14	101	76	9	5.679000e+01	9.335000e-05	9.802000e+07
22892	14	101	76	10	5.691900e+01	2.549000e-05	2.665000e+07
22893	14	101	77	3	-5.008200e+01	3.795000e-02	5.046000e+10
22894	14	101	77	4	-5.014300e+01	5.213000e-01	6.914000e+11
22895	14	101	77	6	-5.389500e+01	5.255000e-05	6.033000e+07
22896	14	101	77	8	-5.635900e+01	1.118000e-05	1.174000e+07
22897	14	101	77	10	-5.743700e+01	3.764000e-05	3.805000e+07
22898	14	101	78	3	-4.991500e+01	1.272000e-04	1.702000e+08
22899	14	101	78	4	-4.997600e+01	1.573000e-04	2.100000e+08
22900	14	101	78	6	-5.370200e+01	6.685000e-02	7.731000e+10
22901	14	101	78	8	-5.614700e+01	3.523000e-02	3.727000e+10
22902	14	101	78	9	-5.708500e+01	7.632000e-02	7.810000e+10
22903	14	101	78	10	-5.721700e+01	3.402000e-02	3.465000e+10
22904	14	101	79	3	4.900100e+01	4.957000e-04	6.894000e+08
22905	14	101	79	4	4.906000e+01	4.845000e-05	6.722000e+07
22906	14	101	79	6	5.224800e+01	1.243000e-02	1.532000e+10
22907	14	101	79	8	5.452200e+01	4.157000e-01	4.711000e+11
22908	14	101	79	9	5.519500e+01	8.751000e-02	9.715000e+10
22909	14	101	79	10	5.531700e+01	2.313000e-02	2.557000e+10
22910	14	101	80	3	-4.601100e+01	1.021000e-04	1.608000e+08
22911	14	101	80	4	-4.606200e+01	2.634000e-05	4.140000e+07
22912	14	101	80	6	-4.920900e+01	1.385000e-02	1.907000e+10
22913	14	101	80	8	-5.125500e+01	2.971000e-01	3.772000e+11
22914	14	101	80	9	-5.203500e+01	2.204000e-01	2.715000e+11
22915	14	101	80	10	-5.214500e+01	1.001000e-01	1.228000e+11
22916	14	101	81	3	-4.595900e+01	5.116000e-04	8.077000e+08
22917	14	101	81	4	-4.601000e+01	9.430000e-04	1.486000e+09
22918	14	101	81	6	-4.915000e+01	1.441000e-03	1.989000e+09
22919	14	101	81	8	-5.119000e+01	1.546000e-03	1.968000e+09
22920	14	101	81	9	-5.196900e+01	3.195000e-02	3.945000e+10
22921	14	101	81	10	-5.207800e+01	1.194000e-01	1.468000e+11
22922	14	101	82	3	-4.574000e+01	6.948000e-02	1.108000e+11
22923	14	101	82	4	-4.579100e+01	1.012000e-02	1.610000e+10
22924	14	101	82	6	-4.890000e+01	1.266000e-04	1.766000e+08
22925	14	101	82	8	-5.091900e+01	3.412000e-04	4.389000e+08
22926	14	101	82	9	-5.168900e+01	1.067000e-04	1.331000e+08
22927	14	101	82	10	-5.179800e+01	1.149000e-04	1.428000e+08
22928	14	101	83	3	-4.549400e+01	1.317000e-02	2.123000e+10
22929	14	101	83	4	-4.554400e+01	8.676000e-02	1.395000e+11
22930	14	101	83	6	-4.861800e+01	3.058000e-05	4.315000e+07
22931	14	101	83	8	-5.061400e+01	8.589000e-05	1.118000e+08
22932	14	101	83	9	-5.137500e+01	1.309000e-03	1.653000e+09
22933	14	101	83	10	-5.148200e+01	5.893000e-04	7.416000e+08
22934	14	101	84	3	-4.483700e+01	1.040000e-04	1.725000e+08
22935	14	101	84	4	-4.488600e+01	1.199000e-04	1.984000e+08
22936	14	101	84	6	-4.786900e+01	2.418000e-02	3.520000e+10
22937	14	101	84	8	-4.980200e+01	7.522000e-04	1.011000e+09
22938	14	101	84	9	-5.053900e+01	7.555000e-02	9.865000e+10
22939	14	101	84	10	-5.064200e+01	5.370000e-02	6.983000e+10
22940	14	101	85	3	-4.350400e+01	1.452000e-06	2.559000e+06
22941	14	101	85	6	-4.635300e+01	1.155000e-01	1.792000e+11
22942	14	101	85	8	-4.816300e+01	5.970000e-04	8.583000e+08
22943	14	101	85	9	-4.885100e+01	3.459000e-02	4.833000e+10
22944	14	101	85	10	-4.894800e+01	1.309000e-02	1.823000e+10
22945	14	101	86	3	-4.194100e+01	1.053000e-06	1.996000e+06
22946	14	101	86	6	-4.458200e+01	3.123000e-04	5.240000e+08
22947	14	101	86	8	-4.625500e+01	9.520000e-02	1.484000e+11
22948	14	101	86	9	-4.688900e+01	2.390000e-02	3.625000e+10
22949	14	101	86	10	-4.697800e+01	5.694000e-03	8.604000e+09
22950	14	101	87	4	-5.760800e+01	2.535000e-07	1.274000e+05
22951	14	101	87	5	-5.772500e+01	1.831000e-05	9.164000e+06
22952	14	101	87	6	-6.261700e+01	1.071000e-03	4.555000e+08
22953	14	101	87	7	-6.261600e+01	1.056000e-02	4.491000e+09
22954	14	101	87	8	-6.596700e+01	9.137000e-04	3.501000e+08
22955	14	101	87	9	-6.726500e+01	3.729000e-04	1.374000e+08
22956	14	101	87	10	-6.744900e+01	2.456000e-03	9.001000e+08
22957	14	101	88	3	5.452200e+01	1.137000e-01	6.395000e+10
22958	14	101	88	4	5.459600e+01	3.582000e-02	2.010000e+10
22959	14	101	88	5	5.470200e+01	1.237000e-01	6.912000e+10
