	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3798	14	101	5	99	3	1	4	4	2.91761993e+02	4.01000000e+02	2s0.2p2.3p1.4P_3/2
3799	14	101	5	100	3	2	2	4	2.93028015e+02	4.01000000e+02	2s0.2p2.3p1.2D_3/2
3800	14	101	5	101	3	0	4	4	2.95083008e+02	4.01000000e+02	2s0.2p2.3p1.4S_3/2
3801	14	101	5	102	3	1	2	4	2.95584991e+02	4.01000000e+02	2s0.2p2.3p1.2P_3/2
3802	14	101	5	103	3	2	2	4	3.01723999e+02	4.01000000e+02	2s0.2p2.3p1.2D_3/2#2
3803	14	101	5	104	3	1	2	4	3.04455994e+02	4.01000000e+02	2s0.2p2.3p1.2P_3/2#2
3804	14	101	5	105	3	1	2	4	3.14821014e+02	4.01000000e+02	2s0.2p2.3p1.2P_3/2#3
3805	14	101	5	106	3	1	4	6	2.47813004e+02	4.01000000e+02	2s1.2p1.3s1.4P_5/2
3806	14	101	5	107	3	3	4	6	2.63220001e+02	4.01000000e+02	2s1.2p1.3d1.4F_5/2
3807	14	101	5	108	3	2	4	6	2.66622986e+02	4.01000000e+02	2s1.2p1.3d1.4D_5/2
3808	14	101	5	109	3	2	2	6	2.67010010e+02	4.01000000e+02	2s1.2p1.3d1.2D_5/2
3809	14	101	5	110	3	1	4	6	2.67808014e+02	4.01000000e+02	2s1.2p1.3d1.4P_5/2
3810	14	101	5	111	3	3	2	6	2.71237000e+02	4.01000000e+02	2s1.2p1.3d1.2F_5/2
3811	14	101	5	112	3	3	2	6	2.85032013e+02	4.01000000e+02	2s1.2p1.3d1.2F_5/2#2
3812	14	101	5	113	3	2	2	6	2.86455994e+02	4.01000000e+02	2s1.2p1.3d1.2D_5/2#2
3813	14	101	5	114	3	2	4	6	2.90691986e+02	4.01000000e+02	2s0.2p2.3p1.4D_5/2
3814	14	101	5	115	3	1	4	6	2.92036987e+02	4.01000000e+02	2s0.2p2.3p1.4P_5/2
